danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.751|0.819|11|-4.372|0|0.0409|0.255|0.0|0.236|0.697|131.842|audio_features|0R6NfOiLzLj4O5VbYSJAjf|spotify:track:0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf|172264|3|Xavi|La Diabla|1|98
0.778|0.835|11|-3.598|0|0.0767|0.152|0.0|0.109|0.666|140.082|audio_features|5XVdHRf4CAJ2Jm0uMIy5qY|spotify:track:5XVdHRf4CAJ2Jm0uMIy5qY|https://api.spotify.com/v1/tracks/5XVdHRf4CAJ2Jm0uMIy5qY|https://api.spotify.com/v1/audio-analysis/5XVdHRf4CAJ2Jm0uMIy5qY|156346|4|Xavi|La Víctima|2|96
0.685|0.61|5|-5.36|0|0.0343|0.00348|0.00054|0.183|0.464|107.999|audio_features|6XaJfhwof7qIgbbXO5tIQI|spotify:track:6XaJfhwof7qIgbbXO5tIQI|https://api.spotify.com/v1/tracks/6XaJfhwof7qIgbbXO5tIQI|https://api.spotify.com/v1/audio-analysis/6XaJfhwof7qIgbbXO5tIQI|260371|4|Kali Uchis|Igual Que Un Ángel (with Peso Pluma)|3|91
0.694|0.588|2|-6.24|1|0.0565|0.358|0.0|0.299|0.794|73.929|audio_features|3QQAeMQbbjZXVFbF8DgFWT|spotify:track:3QQAeMQbbjZXVFbF8DgFWT|https://api.spotify.com/v1/tracks/3QQAeMQbbjZXVFbF8DgFWT|https://api.spotify.com/v1/audio-analysis/3QQAeMQbbjZXVFbF8DgFWT|169440|4|Oscar Ortiz|FIRST LOVE|4|87
0.808|0.944|10|-4.863|0|0.0408|0.183|1.11e-06|0.138|0.937|124.934|audio_features|6uIIdjYTxxpWOyWuVXrKQO|spotify:track:6uIIdjYTxxpWOyWuVXrKQO|https://api.spotify.com/v1/tracks/6uIIdjYTxxpWOyWuVXrKQO|https://api.spotify.com/v1/audio-analysis/6uIIdjYTxxpWOyWuVXrKQO|191467|3|Calle 24|Que Onda|5|95
0.815|0.741|1|-6.04|1|0.0569|0.0277|0.0183|0.219|0.591|125.031|audio_features|6CvTEtGagmzQvkUzzyKR9k|spotify:track:6CvTEtGagmzQvkUzzyKR9k|https://api.spotify.com/v1/tracks/6CvTEtGagmzQvkUzzyKR9k|https://api.spotify.com/v1/audio-analysis/6CvTEtGagmzQvkUzzyKR9k|143327|4|Fuerza Regida|HARLEY QUINN|6|95
0.728|0.589|7|-7.115|1|0.0376|0.424|7.78e-06|0.166|0.767|77.475|audio_features|6RcAHyC5sAUIbPTkhOQwd8|spotify:track:6RcAHyC5sAUIbPTkhOQwd8|https://api.spotify.com/v1/tracks/6RcAHyC5sAUIbPTkhOQwd8|https://api.spotify.com/v1/audio-analysis/6RcAHyC5sAUIbPTkhOQwd8|179013|4|Junior H|Y LLORO|7|91
0.787|0.769|7|-4.681|0|0.0335|0.00331|0.00332|0.115|0.509|128.0|audio_features|6ED7qim1NAX1HjNU8039WS|spotify:track:6ED7qim1NAX1HjNU8039WS|https://api.spotify.com/v1/tracks/6ED7qim1NAX1HjNU8039WS|https://api.spotify.com/v1/audio-analysis/6ED7qim1NAX1HjNU8039WS|197114|4|Eugenio Esquivel|Alucin|8|90
0.757|0.642|2|-7.966|0|0.0369|0.607|0.0355|0.169|0.759|130.098|audio_features|2OWv3lRR8PtOVuHWzQNRs2|spotify:track:2OWv3lRR8PtOVuHWzQNRs2|https://api.spotify.com/v1/tracks/2OWv3lRR8PtOVuHWzQNRs2|https://api.spotify.com/v1/audio-analysis/2OWv3lRR8PtOVuHWzQNRs2|165635|3|Peso Pluma|Rompe La Dompe|9|90
0.779|0.88|4|-2.212|0|0.065|0.426|0.0|0.0691|0.732|140.282|audio_features|4loIMejzvt11s97SGVEat8|spotify:track:4loIMejzvt11s97SGVEat8|https://api.spotify.com/v1/tracks/4loIMejzvt11s97SGVEat8|https://api.spotify.com/v1/audio-analysis/4loIMejzvt11s97SGVEat8|156040|3|Xavi|Poco A Poco|10|91
0.616|0.834|9|-3.069|1|0.0664|0.06|0.0|0.338|0.746|151.701|audio_features|0O3U5iwTbiXCREMkvotJuN|spotify:track:0O3U5iwTbiXCREMkvotJuN|https://api.spotify.com/v1/tracks/0O3U5iwTbiXCREMkvotJuN|https://api.spotify.com/v1/audio-analysis/0O3U5iwTbiXCREMkvotJuN|165848|4|Grupo Frontera|EL AMOR DE SU VIDA|11|91
0.72|0.88|9|-2.834|1|0.101|0.0562|0.06|0.153|0.463|180.011|audio_features|05WVKTdZhlIMX4qqMLuo0f|spotify:track:05WVKTdZhlIMX4qqMLuo0f|https://api.spotify.com/v1/tracks/05WVKTdZhlIMX4qqMLuo0f|https://api.spotify.com/v1/audio-analysis/05WVKTdZhlIMX4qqMLuo0f|197333|4|Peso Pluma|BELLAKEO|12|95
0.684|0.509|8|-10.702|1|0.0397|0.076|0.0|0.0533|0.796|99.24|audio_features|127UT7AiWflJwjXWUBBVTQ|spotify:track:127UT7AiWflJwjXWUBBVTQ|https://api.spotify.com/v1/tracks/127UT7AiWflJwjXWUBBVTQ|https://api.spotify.com/v1/audio-analysis/127UT7AiWflJwjXWUBBVTQ|242133|4|Natanael Cano|O Me Voy O Te Vas|13|89
0.756|0.812|4|-3.483|0|0.0538|0.182|0.0|0.227|0.571|134.887|audio_features|1TEKUj8c5iyRNUUxo9SdSD|spotify:track:1TEKUj8c5iyRNUUxo9SdSD|https://api.spotify.com/v1/tracks/1TEKUj8c5iyRNUUxo9SdSD|https://api.spotify.com/v1/audio-analysis/1TEKUj8c5iyRNUUxo9SdSD|220298|3|Xavi|Modo DND|14|90
0.774|0.86|7|-2.888|0|0.13|0.131|0.0|0.116|0.446|100.019|audio_features|7bywjHOc0wSjGGbj04XbVi|spotify:track:7bywjHOc0wSjGGbj04XbVi|https://api.spotify.com/v1/tracks/7bywjHOc0wSjGGbj04XbVi|https://api.spotify.com/v1/audio-analysis/7bywjHOc0wSjGGbj04XbVi|196800|4|Feid|LUNA|15|96
0.793|0.476|5|-10.515|0|0.0406|0.132|0.0|0.115|0.578|129.992|audio_features|2TJKY0WSFufZOzbRNgl6zE|spotify:track:2TJKY0WSFufZOzbRNgl6zE|https://api.spotify.com/v1/tracks/2TJKY0WSFufZOzbRNgl6zE|https://api.spotify.com/v1/audio-analysis/2TJKY0WSFufZOzbRNgl6zE|194769|4|Alex Favela|ELOVRGA|16|90
0.743|0.634|9|-5.358|1|0.0334|0.0632|0.0|0.198|0.263|129.888|audio_features|1rXxK89X0XGpIdTB6CwiFu|spotify:track:1rXxK89X0XGpIdTB6CwiFu|https://api.spotify.com/v1/tracks/1rXxK89X0XGpIdTB6CwiFu|https://api.spotify.com/v1/audio-analysis/1rXxK89X0XGpIdTB6CwiFu|168087|3|Gabito Ballesteros|A Puro Dolor|17|87
0.761|0.658|11|-7.188|1|0.0429|0.292|1.55e-06|0.137|0.895|125.036|audio_features|6YOfGIE6iFxC7G8OlGGvzW|spotify:track:6YOfGIE6iFxC7G8OlGGvzW|https://api.spotify.com/v1/tracks/6YOfGIE6iFxC7G8OlGGvzW|https://api.spotify.com/v1/audio-analysis/6YOfGIE6iFxC7G8OlGGvzW|168677|3|Junior H|ROCKSTAR|18|88
0.744|0.842|10|-6.576|0|0.0358|0.101|2.43e-06|0.148|0.814|125.258|audio_features|1sXr6moCwVxwKEgSPxhVvF|spotify:track:1sXr6moCwVxwKEgSPxhVvF|https://api.spotify.com/v1/tracks/1sXr6moCwVxwKEgSPxhVvF|https://api.spotify.com/v1/audio-analysis/1sXr6moCwVxwKEgSPxhVvF|170832|3|Calle 24|Apaga El Cel|19|83
0.535|0.395|10|-7.805|1|0.0634|0.597|6.78e-05|0.0969|0.488|157.795|audio_features|25OeKzcqakFPaJlXHPE5lm|spotify:track:25OeKzcqakFPaJlXHPE5lm|https://api.spotify.com/v1/tracks/25OeKzcqakFPaJlXHPE5lm|https://api.spotify.com/v1/audio-analysis/25OeKzcqakFPaJlXHPE5lm|186456|3|Carin Leon|Primera Cita|20|87
0.646|0.736|5|-7.118|0|0.0449|0.216|0.0|0.415|0.873|140.098|audio_features|7mXuWTczZNxG5EDcjFEuJR|spotify:track:7mXuWTczZNxG5EDcjFEuJR|https://api.spotify.com/v1/tracks/7mXuWTczZNxG5EDcjFEuJR|https://api.spotify.com/v1/audio-analysis/7mXuWTczZNxG5EDcjFEuJR|212878|3|Peso Pluma|LADY GAGA|21|92
0.841|0.738|7|-7.455|0|0.307|0.52|0.0|0.0892|0.484|169.918|audio_features|5RqSsdzTNPX1uzkmlHCFvK|spotify:track:5RqSsdzTNPX1uzkmlHCFvK|https://api.spotify.com/v1/tracks/5RqSsdzTNPX1uzkmlHCFvK|https://api.spotify.com/v1/audio-analysis/5RqSsdzTNPX1uzkmlHCFvK|172798|4|KAROL G|QLONA|22|93
0.809|0.836|4|-6.565|0|0.043|0.216|9.44e-05|0.112|0.778|125.953|audio_features|4zfQER4owi8q6NL8Gg63Ya|spotify:track:4zfQER4owi8q6NL8Gg63Ya|https://api.spotify.com/v1/tracks/4zfQER4owi8q6NL8Gg63Ya|https://api.spotify.com/v1/audio-analysis/4zfQER4owi8q6NL8Gg63Ya|199964|3|Fuerza Regida|CRAZYZ|23|89
0.909|0.762|9|-3.974|1|0.0643|0.434|0.0|0.0856|0.843|101.987|audio_features|4bw8mcDUSRWfQo63ZTYRnU|spotify:track:4bw8mcDUSRWfQo63ZTYRnU|https://api.spotify.com/v1/tracks/4bw8mcDUSRWfQo63ZTYRnU|https://api.spotify.com/v1/audio-analysis/4bw8mcDUSRWfQo63ZTYRnU|142335|3|Maluma|Según Quién|24|91
0.739|0.579|7|-8.361|0|0.0509|0.0622|0.0|0.454|0.694|130.002|audio_features|3FvTHuefYV6TxE3Kseqno8|spotify:track:3FvTHuefYV6TxE3Kseqno8|https://api.spotify.com/v1/tracks/3FvTHuefYV6TxE3Kseqno8|https://api.spotify.com/v1/audio-analysis/3FvTHuefYV6TxE3Kseqno8|188000|3|Gabito Ballesteros|LOU LOU|25|89
0.704|0.571|7|-8.212|0|0.156|0.588|0.0|0.117|0.443|96.016|audio_features|6VciS3dRMpZhJiDxT8ArFi|spotify:track:6VciS3dRMpZhJiDxT8ArFi|https://api.spotify.com/v1/tracks/6VciS3dRMpZhJiDxT8ArFi|https://api.spotify.com/v1/audio-analysis/6VciS3dRMpZhJiDxT8ArFi|190000|4|Bizarrap|Young Miko: Bzrp Music Sessions, Vol. 58|26|91
0.807|0.665|9|-6.961|0|0.0497|0.0185|0.0|0.118|0.864|127.909|audio_features|4t46soaqA758rbukTO5pp1|spotify:track:4t46soaqA758rbukTO5pp1|https://api.spotify.com/v1/tracks/4t46soaqA758rbukTO5pp1|https://api.spotify.com/v1/audio-analysis/4t46soaqA758rbukTO5pp1|188667|3|Natanael Cano|Mi Bello Angel|27|88
0.736|0.862|7|-4.136|0|0.0333|0.464|0.0|0.0904|0.799|145.001|audio_features|1RzjXhgnzqb3dMa5852itx|spotify:track:1RzjXhgnzqb3dMa5852itx|https://api.spotify.com/v1/tracks/1RzjXhgnzqb3dMa5852itx|https://api.spotify.com/v1/audio-analysis/1RzjXhgnzqb3dMa5852itx|153032|3|Peso Pluma|LA PEOPLE|28|89
0.911|0.778|5|-2.248|1|0.262|0.0887|2.16e-05|0.179|0.345|96.057|audio_features|7iQXYTyuG13aoeHxGG28Nh|spotify:track:7iQXYTyuG13aoeHxGG28Nh|https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh|https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh|162768|4|Bad Bunny|PERRO NEGRO|29|96
0.782|0.596|8|-11.917|0|0.142|0.806|0.0305|0.109|0.854|88.986|audio_features|1UL2Sn9KX8StSDOp8ZEAOC|spotify:track:1UL2Sn9KX8StSDOp8ZEAOC|https://api.spotify.com/v1/tracks/1UL2Sn9KX8StSDOp8ZEAOC|https://api.spotify.com/v1/audio-analysis/1UL2Sn9KX8StSDOp8ZEAOC|188090|4|Doble ONE Flow Letal|Mi Kryptonita|30|86
0.554|0.763|0|-6.116|0|0.0711|0.157|0.0|0.0968|0.224|164.944|audio_features|2NQZVzSRRatbbPWD5IfadH|spotify:track:2NQZVzSRRatbbPWD5IfadH|https://api.spotify.com/v1/tracks/2NQZVzSRRatbbPWD5IfadH|https://api.spotify.com/v1/audio-analysis/2NQZVzSRRatbbPWD5IfadH|193022|3|Xavi|Sin Pagar Renta|31|85
0.878|0.857|1|-2.337|1|0.148|0.0263|0.0|0.301|0.899|99.99|audio_features|1Aa54YEL20kiDPI6f4XGdS|spotify:track:1Aa54YEL20kiDPI6f4XGdS|https://api.spotify.com/v1/tracks/1Aa54YEL20kiDPI6f4XGdS|https://api.spotify.com/v1/audio-analysis/1Aa54YEL20kiDPI6f4XGdS|185712|4|Uzielito Mix|Linea Del Perreo|32|87
0.792|0.516|4|-6.097|0|0.027|0.197|0.0|0.0855|0.916|108.939|audio_features|51qYdMBxt9mFbtZBzq1Yfi|spotify:track:51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/tracks/51qYdMBxt9mFbtZBzq1Yfi|https://api.spotify.com/v1/audio-analysis/51qYdMBxt9mFbtZBzq1Yfi|185933|4|Julión Álvarez y su Norteño Banda|Regalo De Dios|33|81
0.702|0.836|8|-3.599|1|0.0658|0.204|0.0|0.0698|0.63|117.897|audio_features|29vIEdxgMT9H1fnBMecWjA|spotify:track:29vIEdxgMT9H1fnBMecWjA|https://api.spotify.com/v1/tracks/29vIEdxgMT9H1fnBMecWjA|https://api.spotify.com/v1/audio-analysis/29vIEdxgMT9H1fnBMecWjA|164387|4|Julión Álvarez y su Norteño Banda|Lo Tienes Todo|34|85
